student_id,畢業年度,班級_標準,座號,報考群類,模1_國文分數,模1_國文級分,模1_英文分數,模1_英文級分,模1_數學分數,模1_數學級分,模1_專一分數,模1_專一級分,模1_專二分數,模1_專二級分,模1_總分數,模1_總分級分,模1_轉換統測分數,模1_跨校排名,模2_國文分數,模2_國文級分,模2_英文分數,模2_英文級分,模2_數學分數,模2_數學級分,模2_專一分數,模2_專一級分,模2_專二分數,模2_專二級分,模2_總分數,模2_總分級分,模2_班級排名,模2_類別排名,模2_跨校排名,模2_轉換統測分數,模3_國文分數,模3_國文級分,模3_英文分數,模3_英文級分,模3_數學分數,模3_數學級分,模3_專一分數,模3_專一級分,模3_專二分數,模3_專二級分,模3_總分數,模3_總分級分,模3_班級排名,模3_類別排名,模3_跨校排名,模3_轉換統測分數,模4_國文分數,模4_國文級分,模4_英文分數,模4_英文級分,模4_數學分數,模4_數學級分,模4_專一分數,模4_專一級分,模4_專二分數,模4_專二級分,模4_總分數,模4_總分級分,模4_班級排名,模4_類別排名,模4_跨校排名,模4_轉換統測分數,模5_國文分數,模5_國文級分,模5_英文分數,模5_英文級分,模5_數學分數,模5_數學級分,模5_專一分數,模5_專一級分,模5_專二分數,模5_專二級分,模5_總分數,模5_總分級分,模5_班級排名,模5_類別排名,模5_跨校排名,模5_轉換統測分數,統測_國文分數,統測_國文級分,統測_英文分數,統測_英文級分,統測_數學B分數,統測_數學B級分,統測_專一分數,統測_專一級分,統測_專二分數,統測_專二級分,統測_總分數,統測_總分級分
112-商經418,112,134,18.0,09商業與管理群,74.0,12.0,48.0,8.0,48.0,8.0,70.0,11.0,64.0,10.0,304.0,49.0,481.0,,78.0,13.0,58.5,9.0,52.0,8.0,88.0,14.0,74.0,12.0,350.5,56.0,,,,559.0,70.0,12.0,50.0,8.0,44.0,7.0,64.0,10.0,68.0,11.0,296.0,48.0,,,,495.0,58.25,9.0,58.25,9.0,56.0,9.0,68.0,11.0,72.0,11.0,312.5,54.0,,,,539.0,60.0,10.0,66.75,11.0,32.0,5.0,76.0,12.0,62.0,10.0,296.75,48.0,,,,536.0,84.0,14.0,69.0,11.0,48.0,8.0,80.0,13.0,52.0,9.0,333.0,55.0
112-商經419,112,134,19.0,09商業與管理群,76.0,13.0,71.0,11.0,68.0,11.0,80.0,13.0,76.0,12.0,371.0,60.0,566.0,,74.0,12.0,78.5,12.0,72.0,11.0,76.0,12.0,68.0,11.0,368.5,58.0,,,,535.0,72.0,13.0,70.0,11.0,48.0,8.0,90.0,14.0,80.0,13.0,360.0,59.0,,,,594.0,69.0,11.0,69.0,11.0,72.0,11.0,88.0,14.0,90.0,14.0,388.0,63.0,,,,611.0,64.0,11.0,75.0,12.0,56.0,9.0,98.0,15.0,82.0,13.0,375.0,60.0,,,,622.0,82.0,13.0,79.75,12.0,64.0,10.0,84.0,13.0,70.0,12.0,379.75,60.0
112-商經420,112,134,20.0,09商業與管理群,82.0,14.0,70.75,11.0,32.0,5.0,90.0,14.0,74.0,12.0,348.75,56.0,595.0,,82.0,14.0,73.5,12.0,80.0,13.0,98.0,15.0,84.0,13.0,417.5,67.0,,,,626.0,70.0,12.0,69.0,11.0,44.0,7.0,94.0,15.0,92.0,14.0,369.0,59.0,,,,609.0,67.0,11.0,67.0,11.0,76.0,12.0,90.0,14.0,94.0,15.0,394.0,66.0,,,,630.0,76.0,13.0,75.5,12.0,48.0,8.0,88.0,14.0,86.0,14.0,373.5,61.0,,,,624.0,84.0,14.0,82.5,13.0,72.0,11.0,90.0,14.0,82.0,14.0,410.5,66.0
112-商經421,112,134,21.0,09商業與管理群,74.0,12.0,65.0,10.0,60.0,10.0,84.0,13.0,74.0,12.0,357.0,57.0,562.0,,78.0,13.0,76.0,12.0,88.0,14.0,90.0,14.0,80.0,13.0,412.0,66.0,,,,597.0,68.0,12.0,65.5,10.0,40.0,7.0,90.0,14.0,80.0,13.0,343.5,56.0,,,,581.0,67.0,11.0,67.0,11.0,76.0,12.0,68.0,11.0,84.0,13.0,362.0,59.0,,,,556.0,68.0,12.0,76.25,12.0,52.0,8.0,80.0,13.0,80.0,13.0,356.25,58.0,,,,594.0,80.0,13.0,85.0,13.0,68.0,11.0,78.0,12.0,72.0,12.0,383.0,61.0
112-商經422,112,134,22.0,09商業與管理群,,,,,72.0,11.0,62.0,10.0,,,,21.0,198.0,,72.0,12.0,79.75,12.0,88.0,14.0,82.0,13.0,90.0,14.0,411.75,65.0,,,,584.0,70.0,12.0,71.5,11.0,28.0,5.0,64.0,10.0,82.0,13.0,315.5,51.0,,,,548.0,57.75,9.0,57.75,9.0,84.0,13.0,74.0,12.0,86.0,13.0,359.5,58.0,,,,556.0,52.0,9.0,68.5,11.0,72.0,11.0,74.0,12.0,66.0,11.0,332.5,54.0,,,,529.0,66.0,11.0,76.0,12.0,84.0,13.0,78.0,12.0,70.0,12.0,374.0,60.0
112-商經423,112,134,23.0,09商業與管理群,54.0,9.0,50.25,8.0,68.0,11.0,82.0,13.0,72.0,11.0,326.25,52.0,506.0,,60.0,10.0,53.25,8.0,68.0,11.0,88.0,14.0,80.0,13.0,349.25,56.0,,,,536.0,50.0,9.0,52.75,8.0,40.0,7.0,70.0,11.0,72.0,11.0,284.75,46.0,,,,489.0,49.5,8.0,49.5,8.0,84.0,13.0,74.0,12.0,86.0,13.0,343.0,56.0,,,,534.0,50.0,9.0,57.25,9.0,60.0,10.0,64.0,10.0,70.0,11.0,301.25,49.0,,,,499.0,68.0,11.0,69.0,11.0,68.0,11.0,68.0,11.0,66.0,11.0,339.0,55.0
112-商經424,112,134,24.0,09商業與管理群,62.0,10.0,54.0,9.0,44.0,7.0,66.0,10.0,44.0,7.0,270.0,43.0,410.0,,,,,,,,,,,,,,,,,,60.0,11.0,50.0,8.0,28.0,5.0,60.0,10.0,22.0,4.0,220.0,38.0,,,,359.0,44.25,7.0,44.25,7.0,44.0,7.0,70.0,11.0,58.0,9.0,260.5,44.0,,,,467.0,54.0,9.0,51.75,8.0,36.0,6.0,58.0,9.0,38.0,6.0,237.75,38.0,,,,408.0,52.0,9.0,73.5,12.0,24.0,4.0,66.0,11.0,40.0,7.0,255.5,43.0
112-商經426,112,134,26.0,09商業與管理群,78.0,13.0,72.75,11.0,80.0,13.0,88.0,14.0,86.0,13.0,404.75,64.0,606.0,,78.0,13.0,89.0,14.0,88.0,14.0,92.0,14.0,82.0,13.0,429.0,68.0,,,,617.0,68.0,12.0,81.0,13.0,60.0,10.0,100.0,15.0,88.0,14.0,397.0,64.0,,,,626.0,81.75,13.0,81.75,13.0,80.0,13.0,90.0,14.0,94.0,15.0,427.5,68.0,,,,633.0,58.0,10.0,84.25,13.0,60.0,10.0,84.0,13.0,78.0,12.0,364.25,58.0,,,,591.0,74.0,12.0,84.0,13.0,72.0,11.0,84.0,13.0,76.0,13.0,390.0,62.0
112-商經427,112,134,27.0,09商業與管理群,72.0,12.0,67.0,11.0,76.0,12.0,92.0,14.0,86.0,13.0,393.0,62.0,600.0,,72.0,12.0,76.0,12.0,80.0,13.0,84.0,13.0,84.0,13.0,396.0,63.0,,,,576.0,72.0,13.0,79.5,12.0,48.0,8.0,74.0,12.0,78.0,12.0,351.5,57.0,,,,576.0,59.0,9.0,59.0,9.0,84.0,13.0,70.0,11.0,98.0,15.0,370.0,60.0,,,,567.0,54.0,9.0,76.5,12.0,84.0,13.0,72.0,11.0,72.0,12.0,358.5,57.0,,,,548.0,60.0,10.0,81.0,13.0,72.0,11.0,86.0,14.0,66.0,11.0,365.0,59.0
112-商經428,112,134,28.0,09商業與管理群,72.0,12.0,31.5,5.0,56.0,9.0,50.0,8.0,62.0,10.0,271.5,44.0,415.0,,72.0,12.0,38.5,6.0,56.0,9.0,76.0,12.0,42.0,7.0,284.5,46.0,,,,416.0,66.0,12.0,35.0,6.0,12.0,2.0,52.0,8.0,50.0,8.0,215.0,36.0,,,,409.0,30.75,5.0,30.75,5.0,72.0,11.0,42.0,7.0,56.0,9.0,231.5,44.0,,,,402.0,54.0,9.0,39.5,6.0,44.0,7.0,58.0,9.0,46.0,8.0,241.5,39.0,,,,413.0,68.0,11.0,40.5,7.0,48.0,8.0,60.0,10.0,44.0,8.0,260.5,44.0
112-商經429,112,134,29.0,09商業與管理群,68.0,11.0,81.0,13.0,80.0,13.0,86.0,13.0,72.0,11.0,387.0,61.0,569.0,,72.0,12.0,84.5,13.0,100.0,15.0,90.0,14.0,88.0,14.0,434.5,68.0,,,,608.0,68.0,12.0,85.75,13.0,36.0,6.0,84.0,13.0,64.0,10.0,337.75,54.0,,,,568.0,73.0,11.0,73.0,11.0,72.0,11.0,72.0,11.0,86.0,13.0,376.0,57.0,,,,564.0,66.0,11.0,87.75,14.0,44.0,7.0,72.0,11.0,62.0,10.0,331.75,53.0,,,,555.0,64.0,10.0,90.5,14.0,76.0,12.0,74.0,12.0,68.0,11.0,372.5,59.0
112-商經430,112,134,30.0,09商業與管理群,70.0,12.0,73.25,12.0,92.0,14.0,84.0,13.0,78.0,12.0,397.25,63.0,575.0,,68.0,11.0,78.0,12.0,88.0,14.0,78.0,12.0,80.0,13.0,392.0,62.0,,,,552.0,74.0,13.0,85.75,13.0,48.0,8.0,84.0,13.0,66.0,10.0,357.75,57.0,,,,582.0,75.25,12.0,75.25,12.0,92.0,14.0,74.0,12.0,76.0,12.0,392.5,62.0,,,,562.0,52.0,9.0,88.0,14.0,60.0,10.0,80.0,13.0,66.0,11.0,346.0,57.0,,,,558.0,74.0,12.0,83.75,13.0,84.0,13.0,92.0,15.0,64.0,11.0,397.75,64.0
112-商經431,112,134,31.0,09商業與管理群,76.0,13.0,58.0,9.0,32.0,5.0,70.0,11.0,50.0,8.0,286.0,46.0,463.0,,70.0,12.0,46.75,8.0,36.0,6.0,78.0,12.0,48.0,8.0,278.75,46.0,,,,446.0,64.0,11.0,51.25,8.0,24.0,4.0,72.0,11.0,44.0,7.0,255.25,41.0,,,,451.0,31.5,5.0,31.5,5.0,44.0,7.0,58.0,9.0,44.0,7.0,209.0,40.0,,,,402.0,56.0,10.0,54.0,9.0,60.0,10.0,78.0,12.0,38.0,6.0,286.0,47.0,,,,456.0,80.0,13.0,61.0,10.0,48.0,8.0,46.0,8.0,32.0,6.0,267.0,45.0
112-商經432,112,134,32.0,09商業與管理群,72.0,12.0,71.5,11.0,72.0,11.0,84.0,13.0,88.0,14.0,387.5,61.0,590.0,,68.0,11.0,84.0,13.0,88.0,14.0,90.0,14.0,92.0,14.0,422.0,66.0,,,,607.0,74.0,13.0,89.0,14.0,68.0,11.0,90.0,14.0,88.0,14.0,409.0,66.0,,,,624.0,69.75,11.0,69.75,11.0,96.0,15.0,82.0,13.0,92.0,14.0,409.5,67.0,,,,615.0,68.0,12.0,93.0,14.0,76.0,12.0,92.0,14.0,80.0,13.0,409.0,65.0,,,,627.0,74.0,12.0,90.5,14.0,88.0,14.0,76.0,12.0,84.0,14.0,412.5,66.0
112-商經433,112,134,33.0,09商業與管理群,76.0,13.0,46.5,8.0,56.0,9.0,86.0,13.0,72.0,11.0,336.5,54.0,538.0,,58.0,10.0,47.0,8.0,72.0,11.0,84.0,13.0,80.0,13.0,341.0,55.0,,,,512.0,64.0,11.0,45.0,7.0,48.0,8.0,78.0,12.0,84.0,13.0,319.0,51.0,,,,526.0,36.75,6.0,36.75,6.0,88.0,14.0,72.0,11.0,94.0,15.0,327.5,59.0,,,,545.0,58.0,10.0,48.0,8.0,52.0,8.0,84.0,13.0,72.0,12.0,314.0,51.0,,,,538.0,68.0,11.0,59.0,9.0,56.0,9.0,78.0,12.0,56.0,9.0,317.0,50.0
